hearing_id,subject_id,question-response_number,question,response,q_emotion1,q_emotion2,q_emotion1_text,q_emotion1_intensity,q_emotion1_intensity_text,q_emotion1_confidence,q_emotion2_text,q_emotion2_intensity,q_emotion2_intensity_text,q_emotion2_confidence,r_emotion1,r_emotion2,r_emotion1_text,r_emotion1_intensity,r_emotion1_intensity_text,r_emotion1_confidence,r_emotion2_text,r_emotion2_intensity,r_emotion2_intensity_text,r_emotion2_confidence,a_emotion1,a_emotion2
CHRG-113hhrg89598,Glfk,21,"One-point-eight billion dollars in IT is your budget--$1.8 billion. On $1.8 billion, isn't the retention of key documents that the American people need to count on, like whether or not they're being honestly treated by your employees, especially somebody at such a high level, isn't that, in fact, a priority that should have allowed for full retention?","If we had the right resources, there would be a lot of priorities we'd have. The budget for this year----",Apprehension,,,5,,20,,,,,Annoyance,,,4,,30,,,,,Contempt,
CHRG-113hhrg89598,Glfk,22,"I think the understanding is the rules of the House say that Members should conduct themselves in a way that reflects credibility upon the House. I think people watching this hearing today can decide whether or not that's been followed on that. Look, I think what you're trying to tell people at one point is that it's the Inspector General's responsibility to review this matter and file a report and, in that report, make recommendations as to what action might be done or, upon reviewing that report, you or others might make recommendations of what might be done, such as refer to a--another body like the FBI or somebody else. Is that correct?",That's correct.,Annoyance,,,6,,35,,,,,,,,4,,89,,7,,,Apprehension,
CHRG-113hhrg89598,Glfk,22,"I think the understanding is the rules of the House say that Members should conduct themselves in a way that reflects credibility upon the House. I think people watching this hearing today can decide whether or not that's been followed on that. Look, I think what you're trying to tell people at one point is that it's the Inspector General's responsibility to review this matter and file a report and, in that report, make recommendations as to what action might be done or, upon reviewing that report, you or others might make recommendations of what might be done, such as refer to a--another body like the FBI or somebody else. Is that correct?",That's correct.,Annoyance,,,6,,35,,,,,,,,4,,89,,7,,,Apprehension,
CHRG-113hhrg89598,Glfk,23,"Well, I have the same information, and I understand that they were dismissed in 2011, and they had started 2005. And, actually, in their advertisements, they bragged about how they could retain emails. Do you know if they have a backup that exists?","They were under a contract with the Chief Counsel of the IRS for about 3,000 employees and an internal disaster recovery program that would allow you to move emails from one system to another as a backup. That contract was terminated when the IRS Chief Counsel upgraded to Outlook 2010 and that alternate system was no longer needed.",Submission,,,4,,12,,,,,Remorse,,,5,,88,,,,,Distraction,
CHRG-113hhrg89598,Glfk,24,Had they been in touch with you or your staff before scheduling that date?,"Yes. They actually had asked whether I would be available in the morning on Tuesday, and I was not. Then we agreed that I would testify in the afternoon.",Aggressiveness,,,6,,56,,,,,Distraction,,,5,,50,,,,,Serenity,
CHRG-113hhrg89598,Glfk,25,You didn't tell your IG that some of the documents weren't going to be provided?,I did not----,Distraction,,,6,,100,,0,,,Distraction,,,6,,90,,0,,,Apprehension,
CHRG-113hhrg89598,Glfk,26,"Next slide. Later that day, that IT employee sought help from the field director of the Customer Support Division. And he wrote, ""If she can't fix it, nobody can."" Is that a document that you--part of a document that you produced?",Yes.,Contempt,,,6,,87,,,,,Boredom,,,4,,4,,,,,Awe,
CHRG-113hhrg89598,Glfk,27,"Mr. Koskinen, what is your response to that? You said, ""We're going to get--we're getting find them all."" Were you lying when you said, ""We're going to find them all""?",Absolutely not.,Annoyance,,,5,,90,,,,,Annoyance,,,5,,46,,,,,Awe,
CHRG-113hhrg89598,Glfk,28,"And, finally, and just so everyone is clear, Mr. Koskinen, when you testified before this committee on March 26, did you know about this email claim? Did you know Ms. Lerner's emails were lost forever?",No.,Apprehension,,,5,,12,,,,,Friendliness,,,7,,89,,,,,Submission,
CHRG-113hhrg89598,Glfk,29,"Did he ever explain to you why it was so urgent that you come here at 7:00 on Monday night when you were already scheduled to appear voluntarily before a different committee of jurisdiction on Tuesday, the 24th, the following day?",No.,Aggressiveness,,,3,,78,,,,,Awe,,,7,,89,,,,,Awe,
CHRG-113hhrg89598,Glfk,30,"So the American people should believe that if they don't have the resources to pay their taxes, they shouldn't pay their taxes, because if the IRS doesn't have the resources, it won't keep records. That's pretty much what you're telling us here tonight, is that resources are a question of whether or not you maintain key documents. Let me just go into one thing in my limited time. You came here and you said--put it up on the board--that, as you did today, you were going to tell the truth, the whole truth, and nothing but the truth. You saw that montage in the opening. You knew there was a problem with some of Lois Lerner's emails when you came to testify in March; isn't that true?",I knew that I'd been told there was an issue that no one knew the ramifications of.,Acceptance,,,8,,100,,,,,Acceptance,,,10,,100,,,,,Disapproval,
CHRG-113hhrg89598,Glfk,31,"I guess, you know, as opposed to shoot and then aim, we might be trying to first gather some information and then decide where we go from there. Is that correct?",Correct.,Optimism,,,5,,12,,,,,Contempt,,,4,,,,,,,Annoyance,
CHRG-113hhrg89598,Glfk,32,So that might exist? That data may exist?,"If any of the data exists, it's been searched for, all of the emails. I'm told we've searched every word of every----",Aggressiveness,,,4,,88,,,,,Contempt,,,5,,12,,,,,Distraction,
CHRG-113hhrg89598,Glfk,33,So you agreed to testify voluntarily?,I've always agreed to testify voluntarily over the course of the last 20 years.,Awe,,,6,,12,,,,,Friendliness,,,8,,34,,,,,Friendliness,
CHRG-113hhrg89598,Glfk,34,"Or did you cause someone to find out at the White House, at Treasury, or your IG?","I did not. And if you have any evidence of that, I'd be happy to see it.",Submission,,,7,,55,,,,,Serenity,,,6,,89,,,,,Friendliness,
CHRG-113hhrg89598,Glfk,35,"[continuing]--our committee? Next slide. On August 1st, 2011, the IT field director wrote again to Ms. Lerner and informed her that, ""As a last resort, we sent your hard drive to CI's forensics lab to attempt data recovery."" Now, Mr. Koskinen, ""CI"" stands for Criminal Investigation Division at the IRS. And what do they do in the forensic lab in that division?","They're an expert at, in that lab, taking hard drives in computers that have been seized by criminals, tax evaders, and others and reconstituting emails wherever necessary.",Acceptance,,,3,,76,,,,,Boredom,,,6,,87,,,,,Disapproval,
CHRG-113hhrg89598,Glfk,36,"Mr. Koskinen, you are touted as a man of integrity, and I've even heard you say it about yourself on television. So I'm going to ask you to use that integrity to help me understand a few things that have become confusing to me. Now, you said that you want to restore confidence to the Agency, and I have no question to question that. I have no basis upon which to think that that isn't your goal. But you have to understand that this discussion of the missing emails goes right to the heart of the issue of confidence and of the issue of your ability to do that and of your integrity. So let's start first with just some general concept of ethics, back to your integrity. Now, you agree, as Commissioner, that you can't both be the manager of the Agency, the investigator of the Agency, judge, jury, and prosecutor of matters that are being undertaken under and by the Agency. Right? There's inherent conflict and bias in those positions. You, by basic concepts of an ethics with integrity, can't fill all of those. Correct?","I'm not sure I understand that question. I'm in charge of the Agency, I'm responsible for its activities, and I'm accountable for its activities.",Aggressiveness,,,6,,76,,,,,Contempt,,,7,,87,,,,,Disapproval,
CHRG-113hhrg89598,Glfk,37,"Well, thank you, Mr. Chairman. I have known the Commissioner for many years, and I know him to be a good public servant. I'm a little bit baffled. I know, John, I think that you're probably in a position of the guy at the end of the parade with the broom and shovel here and in a very difficult situation. Let me, if I can, just take people back to the history of this, and to you, Commissioner. This targeting began sometime in March or April of 2010. In June of 2010, Chairman Issa alerted IRS and it made an inquiry. In February of 2011, Lois Lerner sent an email to IRS employees stating that the Tea Party is a very dangerous matter. Then the chairman of the committee with jurisdiction, in June of 2011, June 3rd, Dave Camp, who you spent time with recently, sent a letter to IRS the heat--it looks like the heat really started to come on at that point. Now, an entire administration and one of the biggest scandals in government was back during Watergate when, what, 18 minutes of tape was lost. And somehow, between June 3rd and June 13th, Lois Lerner's hard drive crashes and is gone in 10 days. And it's not just a couple of days or 18 minutes like Rose Mary Woods had the misfortune of losing, but 27 months, is that correct, of hard drive that's lost?",That's correct. All the emails before June----,Annoyance,,,5,,9,,,,,Distraction,,,4,,7,,,,,Contempt,
CHRG-113hhrg89598,Glfk,38,"Now, I won't ask you to speculate, but I think some might speculate either people don't think that Mr. Camp could do the job, which I would sort of think is suspect--he's been known to be a pretty good Member--or that there's some sort of competition going on here. I don't know. Some might speculate that. But when Chairman Camp heard that Chairman Issa had subpoenaed you for tonight, you were all of a sudden notified that there was going to be a hearing in Chairman Camp's committee on Friday of last week. Is that correct?",That's correct.,Annoyance,,,6,,23,,,,,Apprehension,,,6,,87,,,,,Disapproval,
CHRG-113hhrg89598,Glfk,39,Did you reasonably believe that at least one email may have been lost?,No. I did not have any basis for knowing what the answer to that was----,Contempt,,,6,,,,,,,Boredom,,,7,,98,,,,,Boredom,
CHRG-113hhrg89598,Glfk,40,Have you testified tonight to anything that was not discussed at last Friday's hearing?,I'm sorry. What?,Contempt,,,7,,7,,,,,Annoyance,,,10,,65,,,,,Boredom,
CHRG-113hhrg89598,Glfk,41,Did you ask that company for that information?,The company didn't have any data on their servers. The data was all inside the IRS.,Awe,,,6,,65,,,,,Optimism,,,7,,12,,,,,Awe,
CHRG-113hhrg89598,Glfk,42,"So after you discussed and agreed to testify before Chairman Camp, you received a unilateral subpoena from Chairman Issa. Is that correct?",That's correct.,Awe,,,6,,90,,,,,Apprehension,,,5,,80,,,,,Boredom,
CHRG-113hhrg89598,Glfk,43,[continuing]--you did not come back and inform us; is that correct?,"All the emails we have will be provided. I did not say I would provide you emails that disappeared. If you have a magical way for me to do that, I'd be happy to know about it. I said I would provide all of the emails. We are providing all the emails. The fact that 3 years ago some of them, not all of them, but some of them were not available, I never said I would provide you emails we didn't have. And, in fact, we are going to provide you 24,000 emails from the time----",Aggressiveness,,,5,,60,,,,,Aggressiveness,,,5,,98,,0,,,Apprehension,
CHRG-113hhrg89598,Glfk,44,"Now, is this a step typical when an employee computer crashes? Do you normally do that?",No. It's extraordinary that we would--the IRS would send a hard drive to CI for their help.,Annoyance,,,4,,7,,,,,Disapproval,,,5,,3,,,,,Aggressiveness,
CHRG-113hhrg89598,Glfk,45,I'm asking you. Do you have any ability to say no crime has been committed?,I have the ability to say I have seen no evidence of any crime.,Disapproval,,,4,,9,,,,,Contempt,,,5,,4,,,,,Friendliness,
CHRG-113hhrg89598,Glfk,46,"Commissioner, do you remember the name Braulio Castillo?",I do not.,Boredom,,,5,,2,,0,,,Distraction,,,4,,1,,,,,Disapproval,
CHRG-113hhrg89598,Glfk,47,Did you ever hear the name Gregory Roseman?,No.,Boredom,,,4,,88,,,,,Disapproval,,,10,,66,,,,,Friendliness,
CHRG-113hhrg89598,Glfk,48,"Well, Castillo is now on trial for murdering his wife, but, before that, this committee discovered that he had wrongfully received $500 million in contracts, IT contracts, from the IRS. And Gregory Roseman took the Fifth. He was one of your employees who helped get him that contract. When you go home tomorrow or the next day, you might want to see Congresswoman Duckworth asking him how his ankle that he hurt at the prep school feels, because, in fact, he claimed to be a disabled veteran some 27 years later. And his old college buddy, a lifelong friend, helped him get that contract. At that time and now, we rely on the ability to recover emails as part of the chain of discovery. TIGTA Russell George, your IG, relies on that. Tomorrow we'll hear from the head of the National Archives, the Archivist. He relies on your organization to comply with Federal law. The question I have for you is, how can we expect--you have servers that run Microsoft Exchange. It captures every email in and out. How can we sit here and expect to trust an organization in which the C drive, the local hard drive, of Lois Lerner is supposed to be the only place that email existed?","That is not the only place that email existed. There is email on her email system in the server that has been found and produced. Any email that existed anywhere, even any hard copy of official records that existed anywhere, has been or will be provided to this committee.",Submission,,,6,,12,,,,,Awe,,,8,,97,,,,,Boredom,
CHRG-113hhrg89598,Glfk,49,"Right. So, in 2011, when her hard drive failed, if you were properly backing up all the information required under the Federal Records Act, which would include the information she selected to have and apparently deleted from the exchange server, you would have had all of those emails in your backup, wouldn't you?",All emails are not official records under any official records act. Only emails are saved that reflect agency actions or----,Apprehension,,,7,,23,,,,,Distraction,,,5,,13,,,,,Annoyance,
CHRG-113hhrg89598,Glfk,50,Would you put your mic pointed toward you so we could hear?,Sure. Sorry about that.,Awe,,,4,,98,,5,,54,Disapproval,,,6,,76,,,,,Annoyance,
CHRG-113hhrg89598,Glfk,51,"Right. That's why it's so important, getting to what Jim Jordan has said about a special prosecutor, and that's what my question is to you today. If you are truly a man of integrity and you know the difference between you--you--there's no--that you have--you don't have any evidence that a crime has been committed versus you know no crime has been committed, you have to understand that the whole integrity of your Agency is at risk. You possibly have people at the IRS who are committing crimes and they're not being held accountable. The only way you can know that is to--by pick up the phone, call the FBI and ask them to come in and do an investigation on the disappearance of these emails. So my question to you is: Will you call the FBI and ask them to come in and investigate these missing emails that their destruction could possibly have been a crime?","At this time, the Inspector General, an independent agency not controlled by us, started an investigation----",Aggressiveness,,,7,,45,,,,,Apprehension,,,4,,32,,,,,Annoyance,
CHRG-114hhrg20722,bKNm,1,"Secretary Clinton stated that she did not email any classified material, and Director Comey stated there was classified material emailed. Do you agree with Director Comey's conclusion about that?","Again, I would have to refer you to Director Comey's statements for the basis for his recommendations.",Interest,,Do you agree with Director Comey's conclusion about that?,5,,20,,,,,Annoyance,,,3,"Again,",80,,,,,Boredom,
CHRG-114hhrg20722,bKNm,2,Director Comey stated that there is evidence of potential violations of the statutes regarding the handling of classified information. Do you agree with Director Comey's statement?,"Again, I would refer you to Director Comey for any further explanation as to the basis for his recommendations. The recommendation that I received from the team, including Director Comey----",Interest,,Do you agree with Director Comey's statement?,3,,20,,,,,Annoyance,,,5,"Again, [SEP] The recommendation that I received from the team, including Director Comey----",99,,,,,Boredom,
CHRG-114hhrg20722,bKNm,3,"Let me ask you one final question that does not regard the specific facts with regard to Secretary Clinton, but Director Comey said that there was not clear evidence that Secretary Clinton or her colleagues intended to violate laws governing the handling of classified information. My question for you is, is intent to violate the law a requirement under 18 U.S.C. section 793(f)?","Well, Congressman, I think the statutes that were considered here speak for themselves. To answer further would require a discussion of the facts and the analysis of this matter, which, as I've indicated, I'm not in a position to provide at the time. Again, I refer you to Director Comey's discussion for that. As I've indicated, the team reviewed this matter, and it was a unanimous team decision.",Interest,,,2,,20,,,,,Annoyance,,,7,"Well, Congressman, [SEP] speak for themselves. [SEP] which, as I've indicated, [SEP] Again, [SEP] As I've indicated,",100,,,,,Boredom,
CHRG-114hhrg20722,bKNm,4,"And you made a decision, following their recommendation to you, that you were not going to prosecute and the matter was closed. Is that correct?","I made the decision some time ago that I would accept the recommendation of that team and was awaiting that recommendation. When I received it, there was no basis not to accept it. And, again, I reiterate my pride and faith in them.",Interest,,"you [SEP] you, [SEP] you [SEP] Is that correct?",4,,20,,,,,Acceptance,,,8,"made the decision some time ago [SEP] no basis not to accept it. [SEP] again, I reiterate my pride and faith",100,,,,,Boredom,
CHRG-114hhrg20722,bKNm,5,"Thank you. Thank you for being here again, Attorney General, and thank you very much for your frank and candid discussion with us that is now taking place. I'm looking for answers and views of some events that I'm going to string together and ask you to discuss as far as you can in an appropriate manner. Baton Rouge, Louisiana, police shot and killed Alton Sterling. Video shows that he was shot while being pinned to the ground by two officers. Outside of Minneapolis, police shot and killed Philando Castile at what should have been a routine traffic stop. He was armed, but reports suggest that he repeatedly told police that he had a valid permit for the weapon. In Dallas, a gunman killed five police officers and wounded seven others in what appeared to be a well-planned attack--this terrible act in the middle of an otherwise peaceful protest in a city that has become a model for community-engaged policing. And so I think you're qualified to advise us here, as both the chief law enforcement officer in the United States and the first African-American woman to hold that post. How can we make sense of these events during these trying times, ma'am?","Thank you, Congressman, for the opportunity to speak on these issues. I believe that you have truly outlined the issue of the day facing our Nation. And it is my hope that, as we all look at these tragic incidents, that we will take the opportunity to draw closer to each other, to have the difficult conversations about race and policing in this country, involving all sides, involving all issues and all points of view. I have spent the last year as Attorney General touring this great country, meeting specifically on the issue of police and community relations. And I have sought out jurisdictions that have had extremely troubled relationships but have, in fact, made the conscious decision to pull themselves back from that brink and develop a positive relationship between the community and law enforcement. It can be done. I have seen it done. You have cited Dallas as one example of a police department that, through its community policing efforts, has crafted a strong bond with its community so that, when there is tension, there is an outlet, there is a way for discussion. I believe, Congressman, that the key to many of the problems that we face is communication--communication and truly listening to one another, listening to individuals who feel for whatever reason separated and at a distance from the goals of this great country, individuals who feel that they do not have an opportunity to fully participate in this great democracy; as well as listening to our brave members of law enforcement, who talk to me every day with great poignancy about why they joined this wonderful profession, their desire to protect, to serve, to put young people on the right path, to build a better country, and to, in fact, build strong communities because they live in those communities. All of that must be recognized, as well as the pain of law enforcement, who feel themselves under attack as well. By recognizing our common humanity, our common loss, and our common goals, we can, in fact, work on this difficult problem.",Interest,Remorse,"How can we make sense of these events during these trying times, ma'am?",8,"Thank you. Thank you for being here again, Attorney General, [SEP] thank you very much for your frank and candid discussion [SEP] looking for answers and views [SEP] you're qualified to advise us",100,,5,should have been a routine [SEP] terrible,80,Optimism,,,10,"have, in fact, [SEP] It can be done. I have seen it done. [SEP] there is an outlet, there is a way [SEP] [SEP] in fact, [SEP] we can, in fact,",100,,,,,Boredom,Distraction
CHRG-114hhrg20722,bKNm,6,"Okay. Thank you. Let me go to a different subject, and this is back to the FBI investigation, though. The usual practice in such an investigation is to leave the decision on whether or not to recommend prosecution to the Attorney General. Did you suggest to Director Comey, directly or indirectly, that he make the decision rather than you?","Well, Congressman, with respect to the usual process, it is, in fact, the way in which most cases are handled that the team of career investigators or prosecutors make a recommendation and go forward with an action. I can also tell you that----",Hostility,,usual practice [SEP] he make the decision rather than you?,5,,,,,,,Apprehension,,,6,"Well, Congressman,",70,,,,,Boredom,
CHRG-114hhrg20722,bKNm,7,Did you lead anybody to think that you would prefer that Director Comey make the decision not to prosecute rather than you?,"I'm sorry, sir, I couldn't hear the beginning of your question. I apologize for that.",Interest,,Did you lead anybody to think that you would prefer that Director Comey make the decision not to prosecute rather than you?,3,,,,,,,Submission,,,4,"sir,",60,,,,,Boredom,
CHRG-114hhrg20722,bKNm,8,"Okay. Let me--I'll speak more loudly. Did you make any suggestion to Director Comey, directly or indirectly, that he should be the one to decide whether or not to prosecute rather than you, which is traditionally the case?","No, sir. I made no--I had no discussions with the Director on that point, nor had I made any decision as to that point.",Hostility,,"rather than you, which is traditionally the case?",4,,,,,,,Disapproval,Submission,,6,nor had I,85,sir. [SEP] no--I,4,,50,Boredom,
CHRG-114hhrg20722,bKNm,9,Do you agree with Director Comey that Mrs. Clinton violated the Federal Records Act?,I actually don't recall Director Comey speaking on that point. I'd have to go back and check. So I don't have a comment on that.,Interest,,Do you agree,5,,,,,,,Pensiveness,,,2,,20,,,,,Boredom,
